datetime,feelslike
2024-01-01,36.7
2024-01-02,37.2
2024-01-03,35.6
2024-01-04,36.7
2024-01-05,36.2
2024-01-06,39.5
2024-01-07,38.2
2024-01-08,36.9
2024-01-09,42.5
2024-01-10,36.0
2024-01-11,44.1
2024-01-12,43.9
2024-01-13,32.1
2024-01-14,39.9
2024-01-15,47.9
2024-01-16,21.8
2024-01-17,15.9
2024-01-18,35.6
2024-01-19,32.2
2024-01-20,10.9
2024-01-21,22.2
2024-01-22,32.2
2024-01-23,43.3
2024-01-24,53.7
2024-01-25,64.2
2024-01-26,62.0
2024-01-27,61.3
2024-01-28,40.9
2024-01-29,39.3
2024-01-30,44.4
2024-01-31,44.0
2024-02-01,44.5
2024-02-02,51.5
2024-02-03,50.0
2024-02-04,38.5
2024-02-05,44.3
2024-02-06,47.7
2024-02-07,44.8
2024-02-08,46.6
2024-02-09,53.6
2024-02-10,58.5
2024-02-11,62.6
2024-02-12,57.4
2024-02-13,42.4
2024-02-14,48.1
2024-02-15,52.0
2024-02-16,55.6
2024-02-17,38.8
2024-02-18,35.0
2024-02-19,44.8
2024-02-20,45.7
2024-02-21,49.5
2024-02-22,55.9
2024-02-23,59.4
2024-02-24,51.7
2024-02-25,47.6
2024-02-26,57.1
2024-02-27,65.2
2024-02-28,60.9
2024-02-29,42.8
2024-03-01,37.0
2024-03-02,49.1
2024-03-03,57.8
2024-03-04,59.1
2024-03-05,57.1
2024-03-06,58.8
2024-03-07,62.4
2024-03-08,61.1
2024-03-09,59.7
2024-03-10,48.1
2024-03-11,48.3
2024-03-12,55.0
2024-03-13,59.3
2024-03-14,64.6
2024-03-15,65.1
2024-03-16,63.4
2024-03-17,58.9
2024-03-18,48.7
2024-03-19,41.5
2024-03-20,54.9
2024-03-21,61.9
2024-03-22,59.6
2024-03-23,59.1
2024-03-24,52.0
2024-03-25,53.2
2024-03-26,58.1
2024-03-27,60.1
2024-03-28,58.0
2024-03-29,55.9
2024-03-30,61.3
2024-03-31,65.9
2024-04-01,68.6
2024-04-02,72.0
2024-04-03,60.7
2024-04-04,51.7
2024-04-05,50.2
2024-04-06,50.1
2024-04-07,56.5
2024-04-08,64.4
2024-04-09,60.1
2024-04-10,64.4
2024-04-11,65.7
2024-04-12,59.3
2024-04-13,61.1
2024-04-14,67.2
2024-04-15,70.6
2024-04-16,69.8
2024-04-17,70.5
2024-04-18,71.5
2024-04-19,75.0
2024-04-20,69.5
2024-04-21,53.3
2024-04-22,52.9
2024-04-23,57.6
2024-04-24,62.1
2024-04-25,66.2
2024-04-26,69.3
2024-04-27,66.4
2024-04-28,69.3
2024-04-29,68.3
2024-04-30,68.4
2024-05-01,70.8
2024-05-02,72.8
2024-05-03,75.6
2024-05-04,71.4
2024-05-05,72.6
2024-05-06,75.2
2024-05-07,75.3
2024-05-08,78.7
2024-05-09,71.6
2024-05-10,72.1
2024-05-11,65.2
2024-05-12,67.8
2024-05-13,64.0
2024-05-14,68.4
2024-05-15,71.8
2024-05-16,72.6
2024-05-17,68.9
2024-05-18,70.3
2024-05-19,71.3
2024-05-20,73.2
2024-05-21,75.6
2024-05-22,76.0
2024-05-23,77.7
2024-05-24,78.3
2024-05-25,75.2
2024-05-26,80.9
2024-05-27,77.2
2024-05-28,76.2
2024-05-29,73.6
2024-05-30,71.8
2024-05-31,71.4
2024-06-01,71.2
2024-06-02,74.8
2024-06-03,77.5
2024-06-04,77.7
2024-06-05,78.4
2024-06-06,76.7
2024-06-07,77.6
2024-06-08,74.1
2024-06-09,81.1
2024-06-10,75.5
2024-06-11,74.0
2024-06-12,77.6
2024-06-13,81.2
2024-06-14,82.3
2024-06-15,86.2
2024-06-16,86.4
2024-06-17,85.2
2024-06-18,81.6
2024-06-19,79.3
2024-06-20,81.0
2024-06-21,80.6
2024-06-22,84.1
2024-06-23,86.7
2024-06-24,87.1
2024-06-25,82.7
2024-06-26,85.1
2024-06-27,81.0
2024-06-28,83.1
2024-06-29,84.5
2024-06-30,90.5
2024-07-01,90.2
2024-07-02,84.1
2024-07-03,86.2
2024-07-04,88.6
2024-07-05,85.4
2024-07-06,82.3
2024-07-07,84.9
2024-07-08,84.6
2024-07-09,82.6
2024-07-10,79.9
2024-07-11,79.9
2024-07-12,83.2
2024-07-13,85.9
2024-07-14,87.5
2024-07-15,84.2
2024-07-16,82.2
2024-07-17,82.3
2024-07-18,78.6
2024-07-19,78.0
2024-07-20,76.7
2024-07-21,79.1
2024-07-22,79.5
2024-07-23,81.0
2024-07-24,78.3
2024-07-25,78.7
2024-07-26,80.8
2024-07-27,79.4
2024-07-28,76.6
2024-07-29,79.5
2024-07-30,82.3
2024-07-31,83.0
2024-08-01,89.5
2024-08-02,88.5
2024-08-03,83.1
2024-08-04,84.1
2024-08-05,84.6
2024-08-06,84.7
2024-08-07,87.0
2024-08-08,89.5
2024-08-09,87.8
2024-08-10,84.6
2024-08-11,81.3
2024-08-12,80.5
