album_id,name,release_date,popularity
2LweFzHQTdOl0LSqwOS5uM,Paraíso Particular (Ao Vivo),2024-04-11,0
0u4tUXZo8fVWG5BgCg1Tm2,Embaixador - 15 Anos (Ao Vivo),2023-06-15,0
00jkZlcpl1OU9kZbgLqBMT,Buteco Goiânia (Ao Vivo),2022-10-07,0
1AebCIKwFh7upRidnha8yo,Buteco in Boston (Ao Vivo),2021-12-16,0
4AmYNtcUeuaLZfQo5uDTKh,"Falando de Amor, Vol. 2",2021-07-01,0
78YLa6QF2hX4A0QIX80QGy,O Embaixador - The Legacy (Ao Vivo),2021-02-04,0
17jzAujoXwIF60ojew1yHU,O Embaixador in Cariri (Ao Vivo),2019-12-05,0
37nwqMqf3kqIsssO30l8MG,O Embaixador (Ao Vivo),2018-10-26,0
1quJKGITMBDF2S4x0Zl2Vn,"Buteco do Gusttavo Lima, Vol. 2",2017-12-01,0
4ibh4ZJMONa5aR7ZtKDJHu,50/50 (Ao Vivo) [Deluxe],2016-07-22,0
74FOJNFcNhSxf7pGjJM8Q6,Buteco do Gusttavo Lima (Deluxe),2015-07-17,0
6QPDShgwdoyhCBYGYrltJv,Do Outro Lado da Moeda,2014-02-24,0
4W9hStkV2XU2CZLdMeDG0T,Ao Vivo em São Paulo,2012-11-20,0
0JZWK7QhGa1Ir5IRLENyW6,Gusttavo Lima e Você (Ao Vivo),2011-09-20,0
1D81lhNgOwG2ITkLKAak5s,Inventor dos Amores (Ao Vivo),2010-09-25,0
4PrYKDNDUUV3dqpNzDJinB,Gusttavo Lima,2009-01-01,0
029GTh65lJarTNkssUybLW,Embaixador Acústico,2024-08-07,0
1i3R2NzmaLZjDDB6txSgqy,Morar Nesse Motel,2024-06-27,0
0LMS6DwG045EiqIUVXol84,Cep Novo (Ao Vivo),2024-04-10,0
195jcFrmd0EA0YUkXu4zwr,Livramento (Ao Vivo),2024-04-09,0
